ALANKIT,EQ,102.6,103.1,101.75,102.25,102.2,102.1,449649,46055236.95,04-APR-2016,1036,INE914E01032,
ALBK,EQ,58.6,58.6,56.65,57.2,57.3,57.75,2369288,135638595.15,04-APR-2016,8184,INE428A01015,
ALCHEM,EQ,20,20.4,19.7,20.35,20.4,19.9,2264,45531.55,04-APR-2016,41,INE964B01033,
ALEMBICLTD,EQ,36.9,36.9,36.1,36.7,36.8,35.9,147741,5381609.4,04-APR-2016,882,INE426A01027,
ALICON,EQ,285.25,297,285.1,296.05,296.85,292,1252,365205.95,04-APR-2016,109,INE062D01024,
ALKALI,EQ,40.6,42.9,40.6,41.65,42,41.25,431,17966.1,04-APR-2016,17,INE773I01017,
ALKEM,EQ,1334,1369.55,1298,1355.15,1350,1327.55,168161,224887334.75,04-APR-2016,13502,INE540L01014,
ALKYLAMINE,EQ,313.8,313.8,306.55,311.6,310.5,310.4,574,178515.05,04-APR-2016,54,INE150B01021,
ALLCARGO,EQ,152,155,152,154.5,154.5,151.8,46878,7228185.55,04-APR-2016,1093,INE418H01029,
ALLSEC,EQ,127.7,134.35,122,123.3,122.6,125,24076,3060933,04-APR-2016,537,INE835G01018,
ALMONDZ,EQ,9.4,9.85,9.15,9.15,9.15,9.4,1557,14739.8,04-APR-2016,12,INE326B01027,
ALOKTEXT,EQ,4.7,4.75,4.6,4.65,4.7,4.65,1739924,8098542.85,04-APR-2016,749,INE270A01011,
ALPA,BE,36.3,39.5,36.3,39.05,39.4,37.8,26008,1011801.9,04-APR-2016,129,INE385I01010,
ALPHAGEO,EQ,509.2,524.9,505.7,518.55,521.7,509.2,5492,2844736.35,04-APR-2016,154,INE137C01018,
ALPSINDUS,EQ,5,5.4,5,5.35,5.4,4.85,44289,234892.8,04-APR-2016,85,INE093B01015,
ALSTOMT&D,EQ,438,453.75,435.25,440.05,436.95,438,47444,21118879.9,04-APR-2016,2562,INE200A01026,
AMARAJABAT,EQ,887.5,909.8,886.25,903.7,907.1,887.05,212192,190047252.2,04-APR-2016,10139,INE885A01032,
AMBIKCO,EQ,816,830,803.65,807.2,809,816.75,1759,1434943.05,04-APR-2016,211,INE540G01014,
AMBUJACEM,EQ,236.35,236.9,230.55,231.2,231.5,235.35,1587549,369203296.1,04-APR-2016,18561,INE079A01024,
AMDIND,EQ,31.3,31.3,28.7,30,29.9,30.1,21761,651650.15,04-APR-2016,163,INE005I01014,
AMRUTANJAN,EQ,423,434,421.8,430.5,433.95,421.55,7096,3040368.8,04-APR-2016,849,INE098F01023,
AMTEKAUTO,EQ,31.05,31.7,30.7,31.2,31.15,30.85,1329928,41519695.55,04-APR-2016,5837,INE130C01021,
AMTL,EQ,25.5,27.5,25.5,26.8,27,26.4,7444,198894.55,04-APR-2016,38,INE436N01029,
ANANDAMRUB,EQ,12.55,12.55,12,12.1,12.1,12.55,420,5084.4,04-APR-2016,3,INE618N01014,
ANANTRAJ,EQ,34.9,34.95,34.2,34.6,34.75,34.1,563695,19480570.35,04-APR-2016,2513,INE242C01024,
ANDHRABANK,EQ,55.7,56.65,54.45,54.95,54.65,55.45,3088241,170872006.4,04-APR-2016,9039,INE434A01013,
ANDHRACEMT,EQ,8.25,8.25,7.6,7.85,7.85,8,143298,1139361.85,04-APR-2016,218,INE666E01012,
ANDHRSUGAR,EQ,144.8,145.6,140.4,141.15,140.75,142.95,82545,11788021.2,04-APR-2016,1451,INE715B01013,
ANGIND,EQ,35.5,36.85,34.75,35.35,35.4,35.8,182339,6498251.05,04-APR-2016,948,INE017D01010,
